Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	tree_length
0	-851.2953	-961.9155	110.6202	0.6668782	7.869532	1.259631
6	-852.8835	-963.8526	110.969	0.5930525	6.57406	1.254331
12	-847.6501	-958.3166	110.6666	0.5730113	8.881296	1.141638
18	-851.9323	-962.3609	110.4286	0.7875718	10.99515	0.8199785
24	-851.8024	-962.2969	110.4945	0.749992	8.711563	1.163583
30	-864.983	-975.5429	110.5599	0.8481237	8.506166	1.047759
36	-858.977	-969.8114	110.8344	0.7691525	6.192235	1.292245
42	-868.5948	-979.0404	110.4456	0.6522683	6.115522	1.687611
48	-870.8566	-981.7693	110.9128	0.5700602	5.926398	1.437802
54	-852.7094	-963.5099	110.8005	0.7607304	7.164608	1.145753
60	-855.7025	-966.6895	110.987	0.8598329	7.375934	0.8042675
66	-855.6685	-966.1187	110.4502	0.9347197	10.36414	0.7121545
72	-856.6826	-966.9872	110.3046	0.9192049	11.04046	0.8014613
78	-848.5359	-959.1748	110.6389	0.9282945	8.965207	0.7802072
84	-852.2222	-962.7829	110.5607	0.9293053	9.421801	0.7802072
90	-853.5748	-964.1436	110.5688	0.7674602	9.850553	0.8855901
96	-858.5948	-969.1865	110.5917	1.059382	7.437713	1.00957
102	-856.2803	-967.1393	110.859	1.059382	7.268984	0.733057
108	-855.2359	-965.6657	110.4298	1.144673	8.872086	0.7923955
114	-854.9732	-965.33	110.3568	0.8950898	10.7352	0.8231976
120	-844.7266	-955.7948	111.0682	1.055606	6.419269	0.6975895
126	-845.8237	-956.4715	110.6478	1.120984	8.140713	0.6975895
132	-858.1951	-968.9165	110.7214	1.059293	7.374848	0.8856599
138	-853.103	-964.0716	110.9686	0.9194422	6.63805	0.9399842
144	-850.7517	-961.4825	110.7308	1.144538	7.585665	0.6982556
150	-854.9314	-965.549	110.6176	1.086415	7.688005	0.9016136
156	-853.209	-963.7903	110.5813	0.8778885	9.241678	0.858436
162	-852.8488	-963.2309	110.3821	0.7956308	9.852145	1.049745
168	-862.6842	-973.0173	110.3331	0.9032263	11.50055	0.6808536
174	-861.0762	-971.0436	109.9674	1.075683	13.37012	0.4804158
180	-856.479	-966.2544	109.7754	1.223543	13.37012	0.3646336
186	-865.8175	-974.829	109.0115	1.410116	18.81122	0.3646336
192	-876.8165	-986.951	110.1345	1.394413	9.839417	0.4372899
198	-873.1982	-983.0804	109.8822	1.120007	13.67101	0.4519616
204	-867.6835	-977.9119	110.2284	1.11495	10.90152	0.6368399
210	-861.0324	-970.9338	109.9014	1.159486	13.23188	0.4918335
216	-861.0799	-971.4697	110.3898	0.8849075	9.459402	1.017528
222	-865.2563	-975.8721	110.6158	1.005734	8.679625	0.774164
228	-859.0884	-969.1999	110.1115	0.9576581	12.89174	0.6434348
234	-853.9754	-964.1684	110.1929	1.029866	10.48574	0.9022724
240	-852.3321	-962.6813	110.3493	0.9229159	10.80685	0.7821365
246	-845.5375	-956.2885	110.7509	0.874466	8.625814	0.7821365
252	-838.9159	-949.4417	110.5258	0.9821735	9.528056	0.7274235
258	-844.5312	-955.3416	110.8105	1.051171	6.997446	0.8827234
264	-844.1998	-954.747	110.5472	1.074138	7.827203	0.9616652
270	-841.6201	-952.6063	110.9862	0.7133041	7.427503	0.9624822
276	-853.5863	-964.8196	111.2333	0.6762474	6.447266	0.9624822
282	-856.7029	-967.4043	110.7014	0.9630216	8.542198	0.747446
288	-859.779	-970.6261	110.8471	0.9612442	7.959889	0.687817
294	-854.2128	-965.1456	110.9328	0.853464	7.209769	0.9173901
300	-847.9613	-958.7547	110.7934	1.14854	6.908959	0.8075157
306	-860.4703	-971.1907	110.7204	0.6988893	7.497405	1.209995
312	-866.2217	-976.9395	110.7179	0.7699883	6.391744	1.348132
318	-862.919	-973.9536	111.0346	0.7419646	6.17628	1.148793
324	-861.5412	-972.3239	110.7826	0.9736189	7.621884	0.8561675
330	-851.4362	-961.9822	110.546	0.6784713	7.514135	1.366568
336	-855.2106	-966.0535	110.8429	0.6101868	6.442137	1.366568
342	-847.9068	-958.701	110.7942	0.5953284	8.247013	1.109119
348	-852.2243	-963.1114	110.887	0.7690219	8.227618	0.8368207
354	-862.2925	-972.7937	110.5012	0.6801918	10.05362	1.015289
360	-855.1999	-965.9822	110.7823	0.7995301	8.721653	0.8175948
366	-853.8302	-964.3272	110.4969	1.031048	9.030647	0.8175948
372	-860.0486	-970.564	110.5154	1.266953	8.403279	0.5045387
378	-861.7222	-972.6745	110.9523	0.9006173	7.617259	0.7254575
384	-861.6678	-972.1493	110.4815	0.9329148	10.1208	0.7254575
390	-873.3028	-983.9149	110.6121	1.207568	7.911165	0.6841443
396	-858.7991	-969.2763	110.4771	0.7460986	11.14459	0.7818119
402	-864.6268	-975.7361	111.1093	0.7586385	6.898146	0.8997226
408	-862.1852	-972.8554	110.6702	0.7638722	7.214082	1.246249
414	-862.1434	-972.429	110.2856	0.6415963	10.00091	1.250871
420	-861.8127	-972.4852	110.6724	0.9721706	8.0196	0.8965353
